440,679,17663,602,7450
58,22,1865,87827,504
10764,37724,36670,322443,700
155,364,2661,414,272
87421,68812,13006,188207,10461
558,557,102382,1930,6488
244339,10198,13700,50135,10193
68721,10138,1726,10195,24428
675,674,672,671,673
49521,272,10195,13183,29262
8536,9531,11411,1924,76170
709,206647,326284,36557,36670
285,1865,22,72197,11128
38665,31064,10718,13807,16619
1452,209112,8536,49538,16353
411,10140,2309,672,49519
68721,99861,271110,1771,1726
58,72197,13342,26022,22
215918,24424,8831,6020,14757
49051,57158,121,122,120
68812,14014,192141,12486,13994
2270,11042,354110,188207,228326
49051,122917,121,120,6278
2309,417859,97614,267935,118340
11302,2669,504,8619,9570
11036,10894,9645,2669,1865
1771,68721,100402,99861,24428
87421,68812,82700,11260,670
329,330,77951,87101,331
206647,36670,700,10764,103
559,557,1930,10138,1924
1726,10138,99861,271110,36657
241259,48572,58595,78381,1887
36657,127585,2080,49538,36658
9297,585,50135,77459,24266
1858,91314,38356,27205,2080
1858,38356,8373,11798,347126
10281,59981,76285,13155,41513
1930,559,9870,557,16538
1090,20737,1858,11056,82700
140300,228326,920,13053,145220
11798,1979,71469,10195,91314
862,863,11551,50135,137106
280,5708,87101,20504,296
41283,310933,13538,10477,38970
19959,30379,11324,134597,9920
36668,246655,49538,36657,76170
188927,13475,11260,168,201
244403,29076,16353,184315,10195
307081,22327,137321,253235,44639
81188,13600,10195,116711,127585
9208,72431,2135,75612,10724
1858,91314,8373,95,2157
2059,89,85,256040,76349
10137,10567,18162,283384,49519
10199,810,849,109445,14164
54138,174,201,200,199
173931,11260,5491,14757,105864
5175,944,11702,5820,26837
9341,30379,47933,173931,49521
11935,12486,82679,14014,16112
49521,80274,21014,7450,11798
17622,2989,172385,14873,36597
2454,10281,290595,10140,274854
49538,36668,36657,127585,36658
49026,272,364,414,2661
4599,2687,14306,37165,4960
7450,4965,11798,13836,10208
68721,10138,99861,24428,271110
14757,14014,256962,192141,13994
13856,2135,13996,17711,13807
1494,227707,746,11302,98
11918,14623,36657,38055,39349
35,137106,49519,7518,50135
440,299687,71469,11260,602
10196,55306,26022,2080,1865
72559,42057,157353,813,30379
14160,4599,7518,4960,55123
14873,1997,2989,5255,9975
68812,102899,11090,68721,16112
301325,62764,78381,290595,11979
8840,849,81005,62177,9992
61791,542,8338,20504,534
16651,24420,230266,14324,11876
1499,76170,616,11165,14139
271110,1771,24428,139038,68721
808,810,809,228326,188207
9928,15512,105,165,2157
9928,7942,2048,1649,39254
18841,257344,11959,2395,18501
103663,283384,228326,278927,11359
9783,14161,602,608,607
82702,257932,2486,6278,140300
280,87101,534,5708,19959
173931,2157,13807,14139,80274
118340,27374,5551,286217,568
17134,39514,59965,68812,11090
347126,77459,43935,9095,14139
57158,122917,120,121,122
257088,21338,584,51497,10045
46838,55903,46503,16358,210577
246655,36668,36657,127585,36658
